Protein,
,
Nuts,5.1
Peanuts,7
Soy,0.6
Tofu,3.2
Beef,193.7
Lamb & Mutton,223.3
Pork,10.1
Chicken,7.5
Milk,8
Cheese,80.7
Eggs,6.1
Fish,3.4
Crustaceans,1.4
