food,score
Peas,6.8
Cruciferous Vegetables,0.4
Citrus Fruit,0.6
Bananas,1.2
Apples,0.5
Berries & Grapes,1.6
Tomatoes,0.5
Onions & Leeks,0.3
Root Vegetables,0.2
