food,score
Peas,0.8
Tomatoes,1.4
Onions & Leeks,0.3
Root Vegetables,0.3
Cruciferous Vegetables,0.4
Citrus Fruit,0.5
Bananas,0.8
Apples,0.3
Berries & Grapes,1.1
