food,score
Nuts,1914
Peanuts,1431
Soy,26
Tofu,139
Beef,871
Lamb & Mutton,1082
Pork,1073
Chicken,402
Milk,533
Cheese,4735
Eggs,556
Fish,1315
Crustaceans,1394
