food,score
Wheat & Rye,1.4
Maize,1.1
Barley,1.1
Oatmeal,1.6
Rice,4
Potatoes,0.3
Cassava,0.9
Peas,0.8
Nuts,4.4
Peanuts,2.4
Soy,1
Tofu,3
Tomatoes,1.4
Onions & Leeks,0.3
Root Vegetables,0.3
Cruciferous Vegetables,0.4
Citrus Fruit,0.5
Bananas,0.8
Apples,0.3
Berries & Grapes,1.1
Beef,59.6
Lamb & Mutton,24.5
Pork,7.2
Chicken,6.1
Milk,2.8
Cheese,21.2
Eggs,4.5
Fish,5.1
Crustaceans,11.8
